x,y,z,qx,qy,qz,qw,timestamp
-417.13346998535684,-50.34843347559208,37.09785441619934,-0.6541482700979946,-0.05155528191497645,0.004779112209631171,0.754592110826078,6140.0
-416.9702673849367,-50.80117179244564,36.81004818742844,-0.6541753061354856,-0.05210354351770611,0.004930358355276656,0.7545300399334217,6189.0
-416.88472770301985,-51.24681487868159,36.75274925224331,-0.6541553713389043,-0.052498209005748205,0.0052838663947169595,0.7545175736558903,6240.0
-416.6735011286128,-51.724221344632255,36.6285727593581,-0.6541175243468722,-0.05302656258063015,0.00562110285805465,0.7545110013815973,6293.0
-416.39909160078275,-52.238462105600085,36.322961132673356,-0.6541140508555722,-0.05369846771441038,0.005826664394914168,0.7544649316041584,6343.0
-416.05551348675726,-52.80152503551375,35.90786307101168,-0.6541216197734706,-0.0544587053743175,0.005948612972034573,0.7544029228188298,6392.0
-415.8270882879924,-53.35899203434046,35.65200026718984,-0.65411721920164,-0.054778590790428745,0.005946743731789569,0.7543835932560549,6441.0
-415.6238799727285,-54.019947796471726,35.49506731192298,-0.6540951323042173,-0.054048594205660445,0.005204275906214836,0.7544608822680021,6498.0
-415.39941503366873,-54.47666958716677,35.25012407320188,-0.6540999878912942,-0.05238864829340361,0.0034760234619348415,0.7545836949149451,6552.0
-415.1132569865968,-54.82205880786874,34.891082736068505,-0.6541166862665206,-0.05113466188422858,0.0018914742009419777,0.7546608704756322,6603.0
-414.8815929234127,-55.15835459050061,34.60114577339435,-0.6541237616738146,-0.05154075153317952,0.001857322054397566,0.7546271965016103,6654.0
-414.76165099998434,-55.50101112429057,34.48365420393645,-0.6541138602340839,-0.05191283472261191,0.002070790759202117,0.7546097185077593,6704.0
-414.60299498424723,-55.930707115692265,34.335628101592576,-0.6540982479416401,-0.05238450917395692,0.002338353903329977,0.754589873599761,6755.0
-414.3894903785396,-56.32673754889972,34.09502330465403,-0.654094786418904,-0.05290750879600191,0.002495447165404775,0.754555881718547,6806.0
-414.17791172255914,-56.72539940388736,33.85725115476262,-0.6540915771039716,-0.05342664342538684,0.0026549470902139253,0.7545215396460752,6857.0
-414.0031781458829,-57.12159707405894,33.677879986282186,-0.6540821543815131,-0.05388315061304584,0.002851830187370539,0.7544965264759228,6909.0
-413.8099261140957,-57.58201365983951,33.48227798351028,-0.6540711414546795,-0.0541587658242247,0.0028810383331953574,0.7544862289125575,6960.0
-413.59983132184266,-58.03708935777497,33.26401205189167,-0.6540645980573384,-0.053560298163394325,0.0021140754763299477,0.7545371605915914,7012.0
-413.3720004868532,-58.551142872849056,33.01581804835241,-0.6540573442048068,-0.05379098777249606,0.00203656306272154,0.7545272510235173,7063.0
-413.2052041101455,-59.10877120704757,32.81655214887086,-0.6540539205651521,-0.05353305311311067,0.0016380081427602446,0.7545495332627719,7116.0
-412.9306854097099,-59.775379360579194,32.56562860861534,-0.6540306642345951,-0.053374384525991005,0.0012435827889663003,0.7545816846565869,7172.0
-412.63073419518804,-60.63785461179058,32.311132963482144,-0.6539969708830835,-0.052605236850266406,0.00036186339999520295,0.7546658334564764,7226.0
-412.24950653755116,-61.601566935285376,31.983125487038798,-0.6539563903429976,-0.05211978292990118,-0.0003752116839843801,0.7547346732283399,7280.0
-411.7235427184865,-62.80572497926642,31.476338841788465,-0.653917229661761,-0.05290735674808592,-0.00023636534848548764,0.7547138613307964,7333.0
-411.2130669003678,-64.05717509843694,30.953029614226857,-0.6538847198339425,-0.054305111542297634,0.000432314116571531,0.7546426579067539,7388.0
-410.9333964380763,-64.9798345426034,30.63514400646311,-0.6538675989851146,-0.05483123678620902,0.0006209853657990358,0.7546193165080732,7441.0
-410.45166734878137,-65.49333114713113,30.17705444397867,-0.6538350914208898,-0.05484539830880251,-2.2961148531698957e-05,0.7546467087212209,7493.0
-410.12414424156117,-65.79637733715413,29.76699054667281,-0.6538403263051279,-0.05542364076697525,-0.00011357188704650422,0.7545999170704721,7542.0
-409.84536045148855,-65.99515046785604,29.339384614840647,-0.6538602143774259,-0.05594346198252965,-0.00028280253122858566,0.7545442791105399,7594.0
-409.78053282825704,-66.06103624059485,29.107996547150293,-0.6539015666051915,-0.05613276374732041,-0.0004346707116708368,0.7544943108378859,7643.0
-409.7091646513505,-66.13109921803783,28.947785393179103,-0.6539220119285413,-0.056298954217462005,-0.0005130945986362571,0.7544641587267626,7695.0
-409.4609843187939,-66.26592672818607,28.80058861658369,-0.653885186174189,-0.056624454646720106,-0.0004906800034864417,0.7544717315254705,7748.0
-409.31272187452214,-66.56090863472133,28.713274820634293,-0.6538578617196958,-0.056967223667930285,-0.00028381021552363866,0.7544697154602539,7800.0
-409.179620804746,-66.9545117569138,28.61526899772032,-0.6538338660840127,-0.057373586403167504,1.1466207169522265e-06,0.7544597717198424,7851.0
-408.9868706415521,-67.32241815675819,28.43851366811623,-0.6538138420148302,-0.0578357152863214,0.00019696288975391097,0.7544418143453784,7905.0
-408.8299079808258,-67.6612662965573,28.268510162895055,-0.65379451522111,-0.058261875280014364,0.00038479462350636713,0.7544257005754428,7962.0
-408.8902112306204,-67.86107011911623,28.283579002958913,-0.6537993330588611,-0.05835699839661917,0.0005767888104798135,0.7544140508663619,8013.0
-408.89512753556266,-67.9760892242162,28.29155877372802,-0.6537956888334869,-0.0584294733393183,0.0006879303879554317,0.7544115061820158,8068.0
-408.96177541215314,-68.0432035397521,28.31690439672252,-0.6538072360898013,-0.05841851032267154,0.0007627484003639368,0.7544022759133037,8123.0
-408.9113651585586,-68.12290666198834,28.275267388841506,-0.653801850646208,-0.05852496694488642,0.0008030657684377724,0.7543986501983317,8177.0
-408.75625701848264,-68.32933915410156,28.17597656087528,-0.6537780624038393,-0.0588142403413559,0.0009200061405450344,0.7543966356242929,8231.0
-408.64404650138465,-68.66973840062163,28.089589913161404,-0.6537606684203358,-0.05916017160561985,0.001161269703330925,0.7543843277632863,8284.0
-408.55334230236053,-68.99832684457132,27.99673635384331,-0.6537508662172052,-0.05948700446048809,0.0013825554482704446,0.7543667475180783,8337.0
-408.5507450172725,-69.2690092814655,27.931457801415817,-0.6537624804326151,-0.059684373237308415,0.00154951524342331,0.75434076767226,8390.0
-408.5812358576143,-69.45368075489225,27.86849756397919,-0.6537870610848122,-0.05909771418459362,0.0010303596022101318,0.7543665404134321,8444.0
-408.57606065020093,-69.597140190734,27.711829796585373,-0.6538440437729824,-0.055512547027125575,-0.002144762612457422,0.7545871212381586,8499.0
-408.77250429912425,-70.04111358969817,27.385123081695884,-0.6540806179983709,-0.050240617952904985,-0.006367158227328322,0.7547276891453548,8554.0
-408.9750883468838,-70.57050013576885,27.01969852657293,-0.6543377097447616,-0.046205485249013044,-0.00945566581675999,0.754730286342641,8609.0
-408.8440773272119,-70.94980809439092,26.82220232857463,-0.6542829354763902,-0.04534892586635992,-0.010307677183518936,0.7548185656555128,8663.0
-409.01440406174964,-71.22640697871505,26.798355425255938,-0.6540162769686384,-0.04599553391433263,-0.0093284077376795,0.755023245423011,8717.0
-409.15269322094883,-71.36623307646956,26.678377989127867,-0.6536289497511252,-0.04662846040662157,-0.00836323995062232,0.75533107902752,8772.0
-409.15996076075,-71.78533657048945,26.417540748497725,-0.6535167126917144,-0.04720862395860573,-0.007699837644342251,0.755399208734561,8827.0
-408.9001484919007,-72.29544594184497,26.121303434859357,-0.6534632616120841,-0.047916358199391725,-0.007393345314485197,0.7554039494106879,8881.0
-408.75304395781194,-72.63487807431414,25.864416056421703,-0.6533750644400962,-0.048469491240861334,-0.007122695655497311,0.7554475499949361,8940.0
-408.68063254740093,-73.08141430068825,25.66459350195771,-0.6533988798809529,-0.048913408407565764,-0.006848966190040392,0.7554008696780792,9000.0
-408.52521699323773,-73.5246321139453,25.463670589214395,-0.6533732923493949,-0.04944040697201367,-0.006568363709243781,0.7553911858111245,9054.0
-408.51661602006914,-73.82173114068982,25.34488094150339,-0.6531906034532468,-0.049963359273333105,-0.006007080750704574,0.7555194327556121,9109.0
-408.72739831210686,-73.87137460656304,25.32647474331767,-0.6528547371341995,-0.05037725823838572,-0.005223552128810055,0.7557880248832843,9165.0
-408.77157145221946,-74.00543018587527,25.21614799491828,-0.6527346956501038,-0.050675033778333566,-0.0049151223247185065,0.7558738648866385,9221.0
-409.11825234706316,-74.18192416291377,25.241304735736712,-0.6527956570870925,-0.05034137526462263,-0.004938998563434129,0.7558433583209474,9277.0
-409.422899141765,-74.30980411173735,25.206833071955813,-0.6528870147898903,-0.04890584682649151,-0.00606467579414464,0.7558505035868146,9335.0
-409.4269223593685,-74.35463792389997,25.07244164467509,-0.6529113869467871,-0.04756130480579017,-0.007393475971271571,0.7559034194878707,9391.0
-409.6190888645042,-74.48128266466996,25.045025098221764,-0.6529941311064458,-0.04669542782766648,-0.007958628947337407,0.7558801902324254,9448.0
-410.69122917174104,-74.77220022261578,25.441961052610818,-0.6532336037010413,-0.04552283101621767,-0.007867190821712586,0.7557457496808001,9506.0
-411.7035080362638,-75.12725973425056,25.678979197536645,-0.6535379859676596,-0.04487023136667653,-0.0075889663805130845,0.7555244342995875,9563.0
-411.8143944017804,-75.48202651707311,25.125055420116006,-0.6539010651539128,-0.044902424998318514,-0.007647735456655589,0.7552077074303689,9621.0
-412.52919981294934,-76.14888334791739,24.67510129128725,-0.654593436338945,-0.044314945421315935,-0.007067429615201194,0.7546480438939146,9678.0
-413.91969673657735,-77.27135818191242,24.761290025031137,-0.6557021913305437,-0.04291577177033554,-0.006515335636709376,0.7537708028434243,9736.0
-413.8596359412111,-78.21150063419825,24.48706427471825,-0.6566371538160162,-0.042502914053016205,-0.007466994638532531,0.7529710449389616,9794.0
-413.45255011902674,-78.64120870530567,23.93752296469609,-0.6570671687717985,-0.04273877569376162,-0.008287445084001949,0.7525738840993559,9852.0
-413.7875203423991,-78.98196010927893,23.82314001008845,-0.6573421641125141,-0.04260321389751864,-0.008402650160465593,0.7523401098677112,9909.0
-414.03067713422365,-79.9114994402944,23.92216930415453,-0.658208677416861,-0.041971767784999565,-0.009176072397173558,0.7516086131608063,9966.0
-413.5089405275747,-81.81204983425135,23.849378927669363,-0.6600828544241687,-0.04102334422633831,-0.011567755929351836,0.7499825981624426,10024.0
-413.04476657840564,-83.61588074167558,23.827165700792463,-0.6618552122147378,-0.04008297300424756,-0.013817299739784865,0.7484317708163023,10080.0
-412.85894647513777,-84.45176918659966,23.822839785654747,-0.6626734964585467,-0.03963787842868304,-0.014846395558474668,0.7477113481979519,10137.0
-412.9620512629599,-84.56147994021039,23.87478561858558,-0.6627758913057903,-0.03951062521899321,-0.014892170166472846,0.7476264118303689,10194.0
-412.99938168319505,-84.59867428072437,23.89347404997344,-0.6628087615492879,-0.039468878385616406,-0.014901624311643213,0.7475992876169394,10250.0
-413.27501585892895,-84.90883250342058,24.034409338520636,-0.6630925188573101,-0.039126851238347624,-0.015026331677614246,0.7473631047248416,10306.0
